Month/Year: 09/2013
Station Location: PORTLAND INTERNATIONAL AIRPORT (24229)
Lat: 45.595
Lon: -122.609
Elev: 19 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
24229,20130901,0053,11,CLR, ,10.00, , , ,69, ,20.6, ,62, ,16.6, ,57, ,13.9, , 66, , 5, ,030, , , ,29.76, , , , , ,29.87, ,AA, , , ,29.88, 
24229,20130901,0153,11,CLR, ,10.00, , , ,67, ,19.4, ,61, ,16.1, ,57, ,13.9, , 70, , 0, ,000, , , ,29.76, , , , , ,29.88, ,AA, , , ,29.88, 
24229,20130901,0253,11,CLR, ,10.00, , , ,67, ,19.4, ,61, ,15.8, ,56, ,13.3, , 68, , 0, ,000, , , ,29.77, , , , , ,29.88, ,AA, , , ,29.89, 
24229,20130901,0353,11,CLR, ,10.00, , , ,65, ,18.3, ,60, ,15.4, ,56, ,13.3, , 73, , 5, ,060, , , ,29.77, , , , , ,29.89, ,AA, , , ,29.89, 
24229,20130901,0453,11,FEW060, ,10.00, , , ,64, ,17.8, ,59, ,15.2, ,56, ,13.3, , 75, , 0, ,000, , , ,29.78, , , , , ,29.89, ,AA, , , ,29.90, 
24229,20130901,0553,11,FEW080, ,10.00, , , ,63, ,17.2, ,59, ,14.9, ,56, ,13.3, , 78, , 0, ,000, , , ,29.78, , , , , ,29.90, ,AA, , , ,29.90, 
24229,20130901,0653,11,FEW080, ,10.00, , , ,64, ,17.8, ,60, ,15.5, ,57, ,13.9, , 78, , 3, ,270, , , ,29.79, , , , , ,29.91, ,AA, , , ,29.91, 
24229,20130901,0753,11,FEW011, ,10.00, , , ,66, ,18.9, ,61, ,15.9, ,57, ,13.9, , 73, , 0, ,000, , , ,29.79, , , , , ,29.90, ,AA, , , ,29.91, 
24229,20130901,0853,11,FEW013, ,10.00, , , ,68, ,20.0, ,62, ,16.4, ,57, ,13.9, , 68, , 3, ,VR , , , ,29.78, , , , , ,29.89, ,AA, , , ,29.90, 
24229,20130901,0953,11,FEW015, ,10.00, , , ,72, ,22.2, ,62, ,16.6, ,55, ,12.8, , 55, , 7, ,200, , , ,29.77, , , , , ,29.88, ,AA, , , ,29.89, 
24229,20130901,1053,11,FEW030, ,10.00, , , ,74, ,23.3, ,63, ,17.0, ,55, ,12.8, , 52, , 6, ,170, , , ,29.76, , , , , ,29.87, ,AA, , , ,29.88, 
24229,20130901,1153,11,FEW032, ,10.00, , , ,76, ,24.4, ,63, ,17.4, ,55, ,12.8, , 48, , 6, ,360, , , ,29.75, , , , , ,29.86, ,AA, , , ,29.87, 
24229,20130901,1253,11,FEW045, ,10.00, , , ,80, ,26.7, ,65, ,18.2, ,55, ,12.8, , 42, , 3, ,VR , , , ,29.73, , , , , ,29.85, ,AA, , , ,29.85, 
24229,20130901,1353,11,CLR, ,10.00, , , ,83, ,28.3, ,65, ,18.5, ,54, ,12.2, , 37, , 0, ,000, , , ,29.71, , , , , ,29.82, ,AA, , , ,29.83, 
24229,20130901,1453,11,FEW050, ,10.00, , , ,84, ,28.9, ,62, ,16.8, ,46, ,7.8, , 27, , 8, ,260, , , ,29.69, , , , , ,29.80, ,AA, , , ,29.81, 
24229,20130901,1553,11,FEW050, ,10.00, , , ,84, ,28.9, ,63, ,17.0, ,47, ,8.3, , 28, , 0, ,000, , , ,29.67, , , , , ,29.79, ,AA, , , ,29.79, 
24229,20130901,1653,11,FEW050, ,10.00, , , ,84, ,28.9, ,64, ,17.7, ,50, ,10.0, , 31, , 7, ,240, , , ,29.67, , , , , ,29.79, ,AA, , , ,29.79, 
24229,20130901,1753,11,FEW050, ,10.00, , , ,83, ,28.3, ,64, ,17.8, ,51, ,10.6, , 33, , 5, ,300, , , ,29.67, , , , , ,29.78, ,AA, , , ,29.79, 
24229,20130901,1853,11,CLR, ,10.00, , , ,75, ,23.9, ,64, ,17.8, ,57, ,13.9, , 54, , 9, ,330, , , ,29.69, , , , , ,29.80, ,AA, , , ,29.81, 
24229,20130901,1953,11,FEW050, ,10.00, , , ,73, ,22.8, ,62, ,16.8, ,55, ,12.8, , 53, , 9, ,310, , , ,29.72, , , , , ,29.83, ,AA, , , ,29.84, 
24229,20130901,2053,11,CLR, ,10.00, , , ,71, ,21.7, ,62, ,16.4, ,55, ,12.8, , 57, , 7, ,340, , , ,29.73, , , , , ,29.85, ,AA, , , ,29.85, 
24229,20130901,2153,11,FEW050, ,10.00, , , ,69, ,20.6, ,60, ,15.7, ,54, ,12.2, , 59, , 7, ,280, , , ,29.75, , , , , ,29.86, ,AA, , , ,29.87, 
24229,20130901,2253,11,SCT050 BKN150, ,10.00, , , ,66, ,18.9, ,60, ,15.6, ,56, ,13.3, , 70, , 7, ,260, , , ,29.75, , , , , ,29.87, ,AA, , , ,29.87, 
24229,20130901,2353,11,FEW050 BKN130, ,10.00, , , ,67, ,19.4, ,61, ,15.8, ,56, ,13.3, , 68, , 0, ,000, , , ,29.77, , , , , ,29.88, ,AA, , , ,29.89, 
24229,20130902,0053,11,BKN055 BKN130, ,10.00, , , ,68, ,20.0, ,61, ,16.1, ,56, ,13.3, , 66, , 0, ,000, , , ,29.77, , , , , ,29.88, ,AA, , , ,29.89, 
